fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
535,Asbel,Cancio,NULL,177.8,225,NULL,NULL,NULL,0,1,0,NULL,http://ufcstats.com/fighter-details/2a7afe14b3a0a058
536,Carlos,Candelario,"The Cannon",172.72,125,172.72,Southpaw,1991-06-04,8,3,0,NULL,http://ufcstats.com/fighter-details/760a55d5b6098cbe
537,Ronaldo,Candido,Pacman,167.64,125,NULL,Southpaw,1989-04-24,6,0,0,NULL,http://ufcstats.com/fighter-details/23fbe02caabcd214
538,Luiz,Cane,Banha,187.96,185,195.58,Southpaw,1981-04-24,17,7,0,1,http://ufcstats.com/fighter-details/24b033b3daf1c9df
539,Guido,Cannetti,Ninja,167.64,135,172.72,Southpaw,1979-12-19,10,8,0,NULL,http://ufcstats.com/fighter-details/d05412b513b19621
540,Jared,Cannonier,"The Killa Gorilla",180.34,185,195.58,Switch,1984-03-16,17,6,0,NULL,http://ufcstats.com/fighter-details/13a0275fa13c4d26
541,Jose,Canseco,NULL,193.04,240,NULL,Orthodox,1964-07-02,0,1,0,NULL,http://ufcstats.com/fighter-details/03da33a102d9a45f
542,Cody,Canterbury,NULL,172.72,155,NULL,NULL,NULL,1,10,0,NULL,http://ufcstats.com/fighter-details/23100e8f71f25a4a
543,Bo,Cantrell,Redrum,187.96,235,NULL,Orthodox,1969-02-08,10,10,0,NULL,http://ufcstats.com/fighter-details/6750e338922a099d
544,Steve,Cantwell,"The Robot",187.96,185,190.5,Orthodox,1986-12-08,7,6,0,NULL,http://ufcstats.com/fighter-details/f1f9e48a0d150757
545,Paul,Capaldo,NULL,170.18,135,NULL,NULL,1996-12-27,6,0,0,NULL,http://ufcstats.com/fighter-details/83b8fe74224dd642
546,Phil,Caracappa,"The Hitman",172.72,135,177.8,Orthodox,1992-06-05,6,1,0,NULL,http://ufcstats.com/fighter-details/bd81a97864acf098
547,Frank,Caracci,NULL,NULL,NULL,NULL,NULL,NULL,2,3,0,NULL,http://ufcstats.com/fighter-details/44f9c777fed7ca03
548,Gina,Carano,Conviction,172.72,145,NULL,Orthodox,1982-04-16,7,1,0,NULL,http://ufcstats.com/fighter-details/899eaba48fa864a6
549,Dos,"Caras Jr.",NULL,193.04,225,NULL,Orthodox,1977-05-25,9,5,0,NULL,http://ufcstats.com/fighter-details/155a02a8b4311057
550,Bryan,Caraway,"Kid Lightning",172.72,135,172.72,Orthodox,1984-08-04,21,9,0,NULL,http://ufcstats.com/fighter-details/5ef0088c1b19beeb
551,Remo,Cardarelli,NULL,NULL,135,NULL,NULL,NULL,7,5,0,NULL,http://ufcstats.com/fighter-details/e5512a6aed150d8f
552,Phil,Cardella,NULL,180.34,155,NULL,NULL,1976-07-09,8,5,0,NULL,http://ufcstats.com/fighter-details/f6a7b02c42e9fc5b
553,Edgar,Cardenas,"Kitty Katt",NULL,145,NULL,NULL,NULL,4,1,0,NULL,http://ufcstats.com/fighter-details/99a86b134dccc166
554,Chris,Cariaso,Kamikaze,160.02,125,162.56,Southpaw,1981-05-27,17,8,0,NULL,http://ufcstats.com/fighter-details/b2e3aca4cd363477
555,Ronald,Carillo,NULL,NULL,125,NULL,NULL,NULL,4,2,0,NULL,http://ufcstats.com/fighter-details/cbd022eaf2ac546a
556,Rafael,Carino,NULL,203.2,245,NULL,Orthodox,NULL,2,1,1,NULL,http://ufcstats.com/fighter-details/08a7080ff5904661
557,Don,Carlo-Clauss,NULL,NULL,170,NULL,NULL,NULL,10,7,0,NULL,http://ufcstats.com/fighter-details/f59a6de8a5dfe297
558,Antonio,"Carlos Junior","Cara de Sapato",187.96,185,200.66,Orthodox,1990-03-16,11,5,0,1,http://ufcstats.com/fighter-details/52e76bb4b3e852f3
559,Spike,Carlyle,"Alpha Ginger",172.72,145,180.34,Switch,1993-05-06,9,3,0,NULL,http://ufcstats.com/fighter-details/be68b375707dcb85
560,Francis,Carmont,Limitless,190.5,205,198.12,Orthodox,1981-10-11,25,12,0,NULL,http://ufcstats.com/fighter-details/3591d0d5d382a381
561,Liz,Carmouche,Girlrilla,167.64,125,167.64,Orthodox,1984-02-19,13,7,0,NULL,http://ufcstats.com/fighter-details/51a0c09cbe9b8472
562,Roan,Carneiro,Jucao,180.34,170,193.04,Orthodox,1978-06-02,21,11,0,NULL,http://ufcstats.com/fighter-details/1c86754617d9813a
563,Ariane,Carnelossi,Sorriso,157.48,115,154.94,Orthodox,1992-11-17,14,3,0,NULL,http://ufcstats.com/fighter-details/c0d5c0c95c59050b
564,Luana,Carolina,Dread,167.64,125,175.26,Orthodox,1993-06-11,9,4,0,NULL,http://ufcstats.com/fighter-details/528b071cf3da7c56
565,Tim,Caron,"The Bear",185.42,185,NULL,Orthodox,1987-07-24,7,1,0,1,http://ufcstats.com/fighter-details/b80ea4880f25c187
566,Clayton,Carpenter,NULL,167.64,125,167.64,Orthodox,1996-06-09,7,0,0,NULL,http://ufcstats.com/fighter-details/b62d5280966b2460
567,Gabriel,Carrasco,NULL,167.64,135,NULL,NULL,NULL,7,0,0,NULL,http://ufcstats.com/fighter-details/89ed44801968b8e3
568,Cody,Carrillo,NULL,177.8,155,NULL,NULL,NULL,11,16,0,NULL,http://ufcstats.com/fighter-details/9346efb4bbaedd08
569,Cain,Carrizosa,"The Insane",172.72,155,NULL,Orthodox,1986-07-22,10,3,0,NULL,http://ufcstats.com/fighter-details/064b7dc68d786254
570,Roger,Carroll,"The Leprechaun",177.8,170,NULL,NULL,NULL,16,14,0,NULL,http://ufcstats.com/fighter-details/572a89dbe1f76761
571,Jonny,Carson,NULL,177.8,155,NULL,NULL,NULL,11,7,0,NULL,http://ufcstats.com/fighter-details/0d49ddc07bd8c747
572,Scott,Carson,NULL,187.96,215,NULL,NULL,NULL,4,2,0,NULL,http://ufcstats.com/fighter-details/1e3302f9ab6f549a
573,Shonie,Carter,"Mr. International",177.8,170,NULL,Southpaw,1972-05-03,51,31,7,1,http://ufcstats.com/fighter-details/7b6e40a73b567072
574,Jack,Cartwright,NULL,175.26,135,172.72,Orthodox,1994-05-26,10,1,0,NULL,http://ufcstats.com/fighter-details/1f592bfefb0d62a3
575,Bruno,Carvalho,NULL,172.72,154,NULL,NULL,1982-06-07,10,5,0,NULL,http://ufcstats.com/fighter-details/456c02115efc4a01
576,Antonio,Carvalho,Pato,175.26,145,177.8,Orthodox,1979-05-30,15,6,0,NULL,http://ufcstats.com/fighter-details/fef3d17e27e916e7
577,Rafael,Carvalho,NULL,190.5,185,NULL,NULL,1986-07-27,14,1,0,NULL,http://ufcstats.com/fighter-details/620d8710e89cfeae
578,Shane,Carwin,"The Engineer",187.96,265,203.2,Orthodox,1975-01-04,12,2,0,NULL,http://ufcstats.com/fighter-details/68dd7b3783c19f9c
579,Johnny,Case,Hollywood,177.8,155,182.88,Orthodox,1989-06-28,22,6,0,NULL,http://ufcstats.com/fighter-details/1f4b04a926ef1287
580,Kevin,Casey,King,180.34,185,195.58,Southpaw,1981-06-15,9,5,2,2,http://ufcstats.com/fighter-details/8d9586726252dbf7
581,Cortney,Casey,"Cast Iron",170.18,125,170.18,Orthodox,1987-05-05,10,10,0,NULL,http://ufcstats.com/fighter-details/5f179af5fffeb9f6
582,Brandon,Cash,Money,195.58,255,NULL,Orthodox,NULL,10,4,0,NULL,http://ufcstats.com/fighter-details/3993f7dcb7caf42a
583,Bendy,Casimir,NULL,165.1,145,NULL,Southpaw,1980-06-10,20,14,2,NULL,http://ufcstats.com/fighter-details/ec7ac09293d26c05
584,Dwayne,Cason,NULL,177.8,212,NULL,Orthodox,NULL,1,1,0,NULL,http://ufcstats.com/fighter-details/31c01fbc2586a5eb
585,Joe,Cason,NULL,190.5,205,NULL,NULL,1988-01-19,9,1,0,NULL,http://ufcstats.com/fighter-details/2b1c6f28039efe36
586,John,Castaneda,"Sexy Mexi",167.64,135,180.34,Switch,1991-12-18,20,6,0,NULL,http://ufcstats.com/fighter-details/5fa2974cbd18e05c
587,Eric,Castile,NULL,172.72,145,NULL,NULL,NULL,3,2,0,NULL,http://ufcstats.com/fighter-details/a0a69dc9914ef6e1
588,Gil,Castillo,NULL,175.26,170,NULL,Southpaw,1965-10-21,8,5,0,NULL,http://ufcstats.com/fighter-details/31ceaf0e670c1578
589,Danny,Castillo,"Last Call",175.26,155,180.34,Orthodox,1979-08-25,17,10,0,NULL,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
590,Raul,Castillo,NULL,180.34,185,NULL,Orthodox,NULL,7,1,0,NULL,http://ufcstats.com/fighter-details/feeae92f951f49a9
591,Jenna,Castillo,NULL,157.48,125,NULL,NULL,1982-05-05,1,0,0,NULL,http://ufcstats.com/fighter-details/e680418329c84ec4
592,Tim,Catalfo,Obake,180.34,235,NULL,Orthodox,NULL,4,2,0,NULL,http://ufcstats.com/fighter-details/6ca68b636fbc1f18
593,Nick,Catone,"The Jersey Devil",182.88,185,182.88,Southpaw,1981-09-01,10,4,0,NULL,http://ufcstats.com/fighter-details/f8fe2053d73d7bcf
594,Luke,Caudillo,"Lil' Hulk",170.18,155,NULL,Orthodox,1980-11-30,17,17,0,NULL,http://ufcstats.com/fighter-details/68d76fd9ecf7431d
595,Gesias,Cavalcante,JZ,172.72,155,180.34,Orthodox,1983-07-06,21,10,1,2,http://ufcstats.com/fighter-details/2a74bbba57058f12
596,Rafael,Cavalcante,Feijao,185.42,205,187.96,Orthodox,1980-04-14,12,7,0,1,http://ufcstats.com/fighter-details/5c1ca0c72b599a3c
597,Jacqueline,Cavalcanti,NULL,NULL,135,NULL,NULL,1997-08-29,5,1,0,NULL,http://ufcstats.com/fighter-details/e3964ece586e0635
598,Magnus,Cedenblad,Jycken,195.58,185,200.66,Orthodox,1982-04-10,14,5,0,NULL,http://ufcstats.com/fighter-details/0e21976afc92e4d1
599,Yosdenis,Cedeno,"Pink Panther",172.72,155,175.26,Orthodox,1985-02-12,10,6,1,NULL,http://ufcstats.com/fighter-details/3e61082025db8137
600,Henry,Cejudo,"Triple C",162.56,135,162.56,Orthodox,1987-02-09,16,3,0,NULL,http://ufcstats.com/fighter-details/056c493bbd76a918
601,Adam,Cella,"El Naturel",187.96,170,NULL,NULL,1985-06-26,6,8,0,NULL,http://ufcstats.com/fighter-details/b27b8881d7444114
602,Vinicius,Cenci,Chambinho,185.42,155,187.96,Orthodox,1995-11-24,7,2,0,NULL,http://ufcstats.com/fighter-details/f21a152aaa3e95c6
603,Donald,Cerrone,Cowboy,185.42,155,185.42,Orthodox,1983-03-29,36,17,0,2,http://ufcstats.com/fighter-details/1d00756835ca67c9
